Province,Gender,Occupation,Employment
Canada,Total,Total - Occupation - Unit group - National Occupational Classification (NOC) 2021 12,30335920
Canada,Male,Total - Occupation - Unit group - National Occupational Classification (NOC) 2021 12,14861245
Canada,Female,Total - Occupation - Unit group - National Occupational Classification (NOC) 2021 12,15474670
Newfoundland and Labrador,Total,Total - Occupation - Unit group - National Occupational Classification (NOC) 2021 12,433955
Newfoundland and Labrador,Male,Total - Occupation - Unit group - National Occupational Classification (NOC) 2021 12,211180
Newfoundland and Labrador,Female,Total - Occupation - Unit group - National Occupational Classification (NOC) 2021 12,222775
Prince Edward Island,Total,Total - Occupation - Unit group - National Occupational Classification (NOC) 2021 12,126900
Prince Edward Island,Male,Total - Occupation - Unit group - National Occupational Classification (NOC) 2021 12,61450
Prince Edward Island,Female,Total - Occupation - Unit group - National Occupational Classification (NOC) 2021 12,65450
Nova Scotia,Total,Total - Occupation - Unit group - National Occupational Classification (NOC) 2021 12,819315
Nova Scotia,Male,Total - Occupation - Unit group - National Occupational Classification (NOC) 2021 12,395805
Nova Scotia,Female,Total - Occupation - Unit group - National Occupational Classification (NOC) 2021 12,423510
New Brunswick,Total,Total - Occupation - Unit group - National Occupational Classification (NOC) 2021 12,648250
New Brunswick,Male,Total - Occupation - Unit group - National Occupational Classification (NOC) 2021 12,316950
New Brunswick,Female,Total - Occupation - Unit group - National Occupational Classification (NOC) 2021 12,331300
Quebec,Total,Total - Occupation - Unit group - National Occupational Classification (NOC) 2021 12,6918730
Quebec,Male,Total - Occupation - Unit group - National Occupational Classification (NOC) 2021 12,3414515
Quebec,Female,Total - Occupation - Unit group - National Occupational Classification (NOC) 2021 12,3504210
Ontario,Total,Total - Occupation - Unit group - National Occupational Classification (NOC) 2021 12,11782825
Ontario,Male,Total - Occupation - Unit group - National Occupational Classification (NOC) 2021 12,5733360
Ontario,Female,Total - Occupation - Unit group - National Occupational Classification (NOC) 2021 12,6049460
Manitoba,Total,Total - Occupation - Unit group - National Occupational Classification (NOC) 2021 12,1058410
Manitoba,Male,Total - Occupation - Unit group - National Occupational Classification (NOC) 2021 12,522505
Manitoba,Female,Total - Occupation - Unit group - National Occupational Classification (NOC) 2021 12,535905
Saskatchewan,Total,Total - Occupation - Unit group - National Occupational Classification (NOC) 2021 12,882760
Saskatchewan,Male,Total - Occupation - Unit group - National Occupational Classification (NOC) 2021 12,436515
Saskatchewan,Female,Total - Occupation - Unit group - National Occupational Classification (NOC) 2021 12,446245
Alberta,Total,Total - Occupation - Unit group - National Occupational Classification (NOC) 2021 12,3375130
Alberta,Male,Total - Occupation - Unit group - National Occupational Classification (NOC) 2021 12,1675855
Alberta,Female,Total - Occupation - Unit group - National Occupational Classification (NOC) 2021 12,1699275
British Columbia,Total,Total - Occupation - Unit group - National Occupational Classification (NOC) 2021 12,4200425
British Columbia,Male,Total - Occupation - Unit group - National Occupational Classification (NOC) 2021 12,2048395
British Columbia,Female,Total - Occupation - Unit group - National Occupational Classification (NOC) 2021 12,2152025
Yukon,Total,Total - Occupation - Unit group - National Occupational Classification (NOC) 2021 12,32775
Yukon,Male,Total - Occupation - Unit group - National Occupational Classification (NOC) 2021 12,16185
Yukon,Female,Total - Occupation - Unit group - National Occupational Classification (NOC) 2021 12,16595
Northwest Territories,Total,Total - Occupation - Unit group - National Occupational Classification (NOC) 2021 12,31915
Northwest Territories,Male,Total - Occupation - Unit group - National Occupational Classification (NOC) 2021 12,16125
Northwest Territories,Female,Total - Occupation - Unit group - National Occupational Classification (NOC) 2021 12,15785
Nunavut,Total,Total - Occupation - Unit group - National Occupational Classification (NOC) 2021 12,24540
Nunavut,Male,Total - Occupation - Unit group - National Occupational Classification (NOC) 2021 12,12410
